Circle 1: x=414, y=627, r=50;
Circle 2: x=586, y=911, r=30;
Circle 3: x=883, y=216, r=6;
Circle 4: x=357, y=702, r=31;
Circle 5: x=138, y=93, r=41;
Circle 6: x=953, y=787, r=340;
Circle 7: x=347, y=151, r=7;
Circle 8: x=344, y=14, r=8;
Circle 9: x=380, y=736, r=19;
Circle 10: x=221, y=897, r=45;
Circle 11: x=813, y=244, r=11;
Circle 12: x=833, y=478, r=9;
Circle 13: x=87, y=324, r=30;
Circle 14: x=577, y=292, r=6;
Circle 15: x=897, y=518, r=24;
Circle 16: x=478, y=436, r=35;
Circle 17: x=233, y=742, r=26;
Circle 18: x=422, y=988, r=21;
Circle 19: x=366, y=44, r=24;
Circle 20: x=744, y=389, r=34;
Circle 21: x=732, y=19, r=17;
Circle 22: x=438, y=746, r=32;
Circle 23: x=215, y=240, r=39;
Circle 24: x=120, y=930, r=48;
Circle 25: x=96, y=592, r=37;
Circle 26: x=657, y=361, r=41;
Circle 27: x=325, y=683, r=25;
Circle 28: x=80, y=668, r=28;
Circle 29: x=862, y=847, r=28;
Circle 30: x=311, y=270, r=50;
Circle 31: x=51, y=974, r=12;
Circle 32: x=477, y=151, r=40;
Circle 33: x=86, y=500, r=12;
Circle 34: x=768, y=341, r=18;
Circle 35: x=257, y=329, r=5;
Circle 36: x=208, y=315, r=11;
Circle 37: x=831, y=932, r=41;
Circle 38: x=831, y=478, r=39;
Circle 39: x=685, y=271, r=39;
Circle 40: x=748, y=359, r=35;
Circle 41: x=292, y=760, r=41;
Circle 42: x=625, y=895, r=34;
Circle 43: x=738, y=880, r=47;
Circle 44: x=88, y=798, r=25;
Circle 45: x=845, y=587, r=37;
Circle 46: x=208, y=760, r=28;
Circle 47: x=631, y=100, r=16;
Circle 48: x=687, y=809, r=20;
Circle 49: x=731, y=224, r=32;
Circle 50: x=971, y=776, r=31;
Circle 51: x=430, y=857, r=40;
Circle 52: x=468, y=598, r=36;
Circle 53: x=99, y=456, r=20;
Circle 54: x=508, y=160, r=24;
Circle 55: x=671, y=370, r=40;
Circle 56: x=958, y=337, r=42;
Circle 57: x=318, y=967, r=46;
Circle 58: x=210, y=380, r=13;
Circle 59: x=649, y=838, r=41;
Circle 60: x=336, y=895, r=45;
Circle 61: x=694, y=571, r=21;
Circle 62: x=433, y=80, r=47;
Circle 63: x=686, y=188, r=13;
Circle 64: x=0, y=799, r=24;
Circle 65: x=580, y=48, r=6;
Circle 66: x=127, y=365, r=20;
Circle 67: x=919, y=740, r=19;
Circle 68: x=359, y=492, r=41;
Circle 69: x=524, y=287, r=19;
Circle 70: x=257, y=806, r=5;
Circle 71: x=986, y=324, r=40;
Circle 72: x=962, y=770, r=27;
Circle 73: x=588, y=572, r=14;
Circle 74: x=69, y=939, r=32;
Circle 75: x=68, y=677, r=39;
Circle 76: x=394, y=246, r=13;
Circle 77: x=634, y=797, r=32;
Circle 78: x=683, y=673, r=21;
Circle 79: x=572, y=809, r=36;
Circle 80: x=292, y=738, r=7;
Circle 81: x=65, y=415, r=20;
Circle 82: x=839, y=255, r=20;
Circle 83: x=19, y=427, r=42;
Circle 84: x=137, y=122, r=33;
Circle 85: x=119, y=736, r=32;
Circle 86: x=546, y=672, r=24;
Circle 87: x=537, y=80, r=35;
Circle 88: x=940, y=155, r=18;
Circle 89: x=663, y=531, r=29;
Circle 90: x=561, y=902, r=19;
Circle 91: x=130, y=891, r=14;
Circle 92: x=351, y=608, r=27;
Circle 93: x=27, y=955, r=30;
Circle 94: x=682, y=917, r=39;
Circle 95: x=563, y=163, r=27;
Circle 96: x=405, y=371, r=25;
Circle 97: x=764, y=664, r=49;
Circle 98: x=337, y=733, r=34;
Circle 99: x=526, y=598, r=47;
Circle 100: x=727, y=976, r=21;
Circle 101: x=36, y=521, r=49;
Circle 102: x=532, y=825, r=47;
Circle 103: x=14, y=505, r=11;
Circle 104: x=14, y=751, r=14;
Circle 105: x=706, y=294, r=9;
Circle 106: x=329, y=963, r=36;
Circle 107: x=730, y=332, r=50;
Circle 108: x=802, y=416, r=8;
Circle 109: x=17, y=551, r=33;
Circle 110: x=978, y=576, r=46;
Circle 111: x=219, y=151, r=33;
Circle 112: x=609, y=565, r=48;
Circle 113: x=537, y=637, r=14;
Circle 114: x=864, y=405, r=13;
Circle 115: x=391, y=7, r=35;
Circle 116: x=303, y=167, r=26;
Circle 117: x=168, y=188, r=17;
Circle 118: x=648, y=734, r=26;
Circle 119: x=423, y=864, r=28;
Circle 120: x=660, y=727, r=23;
Circle 121: x=182, y=533, r=47;
Circle 122: x=146, y=151, r=7;
Circle 123: x=210, y=674, r=38;
Circle 124: x=725, y=444, r=42;
Circle 125: x=106, y=907, r=19;
Circle 126: x=854, y=217, r=50;
Circle 127: x=831, y=120, r=17;
Circle 128: x=799, y=595, r=15;
Circle 129: x=776, y=451, r=14;
Circle 130: x=510, y=283, r=48;
Circle 131: x=365, y=758, r=23;
Circle 132: x=392, y=633, r=7;
Circle 133: x=418, y=146, r=37;
Circle 134: x=64, y=815, r=20;
Circle 135: x=623, y=722, r=46;
Circle 136: x=182, y=960, r=5;
Circle 137: x=528, y=272, r=29;
Circle 138: x=436, y=165, r=21;
Circle 139: x=219, y=356, r=49;
Circle 140: x=922, y=525, r=5;
Circle 141: x=300, y=126, r=12;
Circle 142: x=643, y=219, r=47;
Circle 143: x=963, y=228, r=31;
Circle 144: x=290, y=631, r=27;
Circle 145: x=710, y=445, r=28;
Circle 146: x=756, y=197, r=31;
Circle 147: x=26, y=736, r=9;
Circle 148: x=729, y=88, r=27;
Circle 149: x=430, y=227, r=27;
Circle 150: x=656, y=993, r=21;
Circle 151: x=578, y=652, r=46;
Circle 152: x=355, y=38, r=33;
Circle 153: x=223, y=235, r=36;
Circle 154: x=330, y=967, r=20;
Circle 155: x=992, y=206, r=12;
Circle 156: x=962, y=239, r=7;
Circle 157: x=560, y=723, r=28;
Circle 158: x=77, y=290, r=43;
Circle 159: x=127, y=247, r=11;
Circle 160: x=129, y=790, r=39;
Circle 161: x=610, y=665, r=39;
Circle 162: x=473, y=585, r=45;
Circle 163: x=847, y=412, r=49;
Circle 164: x=455, y=290, r=10;
Circle 165: x=871, y=314, r=30;
Circle 166: x=770, y=203, r=31;
Circle 167: x=669, y=644, r=23;
Circle 168: x=540, y=778, r=48;
Circle 169: x=636, y=513, r=27;
Circle 170: x=669, y=689, r=39;
Circle 171: x=706, y=200, r=46;
Circle 172: x=710, y=836, r=49;
Circle 173: x=451, y=26, r=27;
Circle 174: x=123, y=718, r=17;
Circle 175: x=612, y=446, r=39;
Circle 176: x=858, y=401, r=6;
Circle 177: x=51, y=472, r=38;
Circle 178: x=929, y=448, r=49;
Circle 179: x=360, y=753, r=26;
Circle 180: x=892, y=782, r=48;
Circle 181: x=628, y=347, r=15;
Circle 182: x=343, y=155, r=24;
Circle 183: x=193, y=358, r=44;
Circle 184: x=186, y=574, r=9;
Circle 185: x=988, y=88, r=24;
Circle 186: x=716, y=830, r=13;
Circle 187: x=505, y=999, r=25;
Circle 188: x=826, y=339, r=35;
Circle 189: x=105, y=155, r=17;
Circle 190: x=661, y=768, r=23;
Circle 191: x=582, y=770, r=48;
Circle 192: x=409, y=170, r=29;
Circle 193: x=663, y=671, r=28;
Circle 194: x=419, y=306, r=17;
Circle 195: x=42, y=217, r=18;
Circle 196: x=607, y=386, r=36;
Circle 197: x=698, y=919, r=34;
Circle 198: x=967, y=550, r=13;
Circle 199: x=345, y=766, r=16;
Circle 200: x=746, y=739, r=18;
Circle 201: x=640, y=179, r=36;
Circle 202: x=976, y=725, r=25;
Circle 203: x=381, y=280, r=45;
Circle 204: x=308, y=377, r=44;
Circle 205: x=984, y=312, r=31;
Circle 206: x=351, y=719, r=42;
Circle 207: x=313, y=472, r=11;
Circle 208: x=492, y=779, r=43;
Circle 209: x=300, y=253, r=21;
Circle 210: x=430, y=790, r=21;
Circle 211: x=74, y=916, r=49;
Circle 212: x=569, y=55, r=18;
Circle 213: x=1000, y=612, r=36;
Circle 214: x=199, y=185, r=12;
Circle 215: x=808, y=462, r=34;
Circle 216: x=5, y=543, r=33;
Circle 217: x=702, y=181, r=23;
Circle 218: x=736, y=713, r=50;
Circle 219: x=218, y=553, r=10;
Circle 220: x=333, y=292, r=50;
Circle 221: x=59, y=980, r=40;
Circle 222: x=402, y=568, r=47;
Circle 223: x=331, y=861, r=19;
Circle 224: x=377, y=546, r=9;
Circle 225: x=560, y=22, r=29;
Circle 226: x=485, y=382, r=16;
Circle 227: x=976, y=637, r=28;
Circle 228: x=216, y=606, r=17;
Circle 229: x=479, y=694, r=5;
Circle 230: x=41, y=593, r=33;
Circle 231: x=499, y=918, r=28;
Circle 232: x=923, y=127, r=13;
Circle 233: x=379, y=739, r=46;
Circle 234: x=419, y=740, r=50;
Circle 235: x=266, y=209, r=11;
Circle 236: x=167, y=109, r=28;
Circle 237: x=665, y=359, r=27;
Circle 238: x=131, y=48, r=44;
Circle 239: x=321, y=746, r=6;
Circle 240: x=275, y=226, r=50;
Circle 241: x=289, y=543, r=6;
Circle 242: x=49, y=591, r=17;
Circle 243: x=128, y=448, r=39;
Circle 244: x=911, y=55, r=47;
Circle 245: x=425, y=746, r=14;
Circle 246: x=589, y=306, r=18;
