Circle 1: x=49, y=194, r=31;
Circle 2: x=344, y=765, r=8;
Circle 3: x=209, y=867, r=11;
Circle 4: x=638, y=356, r=13;
Circle 5: x=813, y=129, r=42;
Circle 6: x=346, y=764, r=18;
Circle 7: x=778, y=319, r=41;
Circle 8: x=968, y=387, r=24;
Circle 9: x=719, y=948, r=50;
Circle 10: x=768, y=861, r=27;
Circle 11: x=863, y=102, r=47;
Circle 12: x=160, y=948, r=47;
Circle 13: x=126, y=586, r=35;
Circle 14: x=124, y=309, r=47;
Circle 15: x=16, y=675, r=42;
Circle 16: x=768, y=628, r=40;
Circle 17: x=784, y=139, r=21;
Circle 18: x=399, y=373, r=33;
Circle 19: x=278, y=621, r=17;
Circle 20: x=182, y=791, r=29;
Circle 21: x=490, y=965, r=16;
Circle 22: x=93, y=173, r=15;
Circle 23: x=775, y=387, r=41;
Circle 24: x=842, y=528, r=28;
Circle 25: x=957, y=609, r=32;
Circle 26: x=415, y=360, r=7;
Circle 27: x=888, y=217, r=32;
Circle 28: x=346, y=426, r=19;
Circle 29: x=8, y=890, r=25;
Circle 30: x=808, y=945, r=5;
Circle 31: x=691, y=89, r=38;
Circle 32: x=795, y=489, r=7;
Circle 33: x=810, y=513, r=20;
Circle 34: x=426, y=149, r=35;
Circle 35: x=965, y=463, r=30;
Circle 36: x=10, y=90, r=17;
Circle 37: x=771, y=517, r=49;
Circle 38: x=602, y=514, r=49;
Circle 39: x=817, y=267, r=11;
Circle 40: x=334, y=602, r=34;
Circle 41: x=271, y=783, r=44;
Circle 42: x=429, y=829, r=35;
Circle 43: x=425, y=533, r=31;
Circle 44: x=717, y=835, r=15;
Circle 45: x=751, y=937, r=27;
Circle 46: x=215, y=900, r=12;
Circle 47: x=534, y=393, r=23;
Circle 48: x=495, y=86, r=10;
Circle 49: x=58, y=129, r=23;
Circle 50: x=786, y=743, r=30;
Circle 51: x=449, y=225, r=5;
Circle 52: x=630, y=790, r=37;
Circle 53: x=969, y=228, r=46;
Circle 54: x=763, y=727, r=48;
Circle 55: x=456, y=336, r=14;
Circle 56: x=308, y=773, r=50;
Circle 57: x=584, y=764, r=11;
Circle 58: x=156, y=611, r=8;
Circle 59: x=766, y=759, r=21;
Circle 60: x=816, y=252, r=18;
Circle 61: x=619, y=908, r=9;
Circle 62: x=862, y=351, r=18;
Circle 63: x=704, y=205, r=28;
Circle 64: x=887, y=448, r=26;
Circle 65: x=913, y=948, r=30;
Circle 66: x=591, y=523, r=37;
Circle 67: x=602, y=676, r=38;
Circle 68: x=229, y=59, r=30;
Circle 69: x=831, y=603, r=26;
Circle 70: x=568, y=743, r=14;
Circle 71: x=402, y=494, r=31;
Circle 72: x=814, y=702, r=14;
Circle 73: x=106, y=653, r=29;
Circle 74: x=671, y=84, r=41;
Circle 75: x=73, y=44, r=31;
Circle 76: x=629, y=856, r=44;
Circle 77: x=394, y=970, r=45;
Circle 78: x=214, y=151, r=14;
Circle 79: x=450, y=785, r=5;
Circle 80: x=53, y=817, r=23;
Circle 81: x=438, y=367, r=44;
Circle 82: x=354, y=738, r=48;
Circle 83: x=32, y=620, r=10;
Circle 84: x=712, y=543, r=34;
Circle 85: x=640, y=71, r=26;
Circle 86: x=361, y=887, r=15;
Circle 87: x=343, y=193, r=41;
Circle 88: x=279, y=209, r=33;
Circle 89: x=46, y=303, r=17;
Circle 90: x=466, y=116, r=28;
Circle 91: x=450, y=986, r=48;
Circle 92: x=190, y=78, r=25;
Circle 93: x=645, y=350, r=12;
Circle 94: x=44, y=358, r=28;
Circle 95: x=594, y=813, r=39;
Circle 96: x=486, y=16, r=49;
Circle 97: x=488, y=290, r=50;
Circle 98: x=149, y=978, r=14;
Circle 99: x=307, y=467, r=30;
Circle 100: x=629, y=838, r=7;
Circle 101: x=992, y=29, r=48;
Circle 102: x=94, y=369, r=16;
Circle 103: x=941, y=664, r=45;
Circle 104: x=455, y=179, r=43;
Circle 105: x=390, y=720, r=14;
Circle 106: x=750, y=995, r=40;
Circle 107: x=79, y=364, r=49;
Circle 108: x=141, y=199, r=44;
Circle 109: x=122, y=99, r=12;
Circle 110: x=931, y=265, r=47;
Circle 111: x=209, y=394, r=8;
Circle 112: x=546, y=55, r=42;
Circle 113: x=976, y=587, r=21;
Circle 114: x=788, y=802, r=8;
Circle 115: x=374, y=206, r=8;
Circle 116: x=393, y=777, r=35;
Circle 117: x=688, y=334, r=33;
Circle 118: x=644, y=771, r=47;
Circle 119: x=328, y=551, r=35;
Circle 120: x=777, y=399, r=17;
Circle 121: x=995, y=663, r=15;
Circle 122: x=370, y=764, r=34;
Circle 123: x=554, y=101, r=12;
Circle 124: x=82, y=845, r=11;
Circle 125: x=897, y=252, r=16;
Circle 126: x=959, y=710, r=46;
Circle 127: x=189, y=846, r=50;
Circle 128: x=343, y=12, r=47;
Circle 129: x=509, y=844, r=35;
Circle 130: x=888, y=879, r=10;
Circle 131: x=628, y=453, r=18;
Circle 132: x=750, y=12, r=21;
Circle 133: x=338, y=355, r=47;
Circle 134: x=618, y=451, r=15;
Circle 135: x=333, y=536, r=11;
Circle 136: x=203, y=456, r=24;
Circle 137: x=644, y=882, r=38;
Circle 138: x=225, y=713, r=19;
Circle 139: x=930, y=394, r=28;
Circle 140: x=889, y=830, r=23;
Circle 141: x=720, y=793, r=39;
Circle 142: x=541, y=37, r=40;
Circle 143: x=418, y=862, r=30;
Circle 144: x=461, y=409, r=12;
Circle 145: x=444, y=297, r=28;
Circle 146: x=689, y=214, r=41;
Circle 147: x=327, y=391, r=22;
Circle 148: x=992, y=414, r=43;
Circle 149: x=75, y=269, r=27;
Circle 150: x=216, y=864, r=36;
Circle 151: x=123, y=476, r=15;
Circle 152: x=177, y=35, r=50;
Circle 153: x=928, y=950, r=38;
Circle 154: x=813, y=132, r=15;
Circle 155: x=373, y=414, r=44;
Circle 156: x=499, y=531, r=17;
Circle 157: x=183, y=708, r=38;
Circle 158: x=883, y=655, r=39;
Circle 159: x=911, y=147, r=20;
Circle 160: x=312, y=216, r=47;
Circle 161: x=758, y=76, r=6;
Circle 162: x=103, y=623, r=6;
Circle 163: x=243, y=202, r=20;
Circle 164: x=702, y=387, r=50;
Circle 165: x=94, y=499, r=42;
Circle 166: x=560, y=321, r=47;
Circle 167: x=215, y=412, r=41;
Circle 168: x=96, y=66, r=5;
Circle 169: x=45, y=953, r=11;
Circle 170: x=538, y=8, r=49;
Circle 171: x=394, y=552, r=38;
Circle 172: x=920, y=43, r=48;
Circle 173: x=843, y=189, r=21;
Circle 174: x=671, y=842, r=49;
Circle 175: x=404, y=161, r=24;
Circle 176: x=174, y=418, r=15;
Circle 177: x=66, y=909, r=26;
Circle 178: x=987, y=934, r=41;
Circle 179: x=930, y=385, r=32;
Circle 180: x=13, y=824, r=20;
Circle 181: x=454, y=758, r=19;
Circle 182: x=423, y=248, r=14;
Circle 183: x=491, y=382, r=25;
Circle 184: x=724, y=409, r=50;
Circle 185: x=693, y=425, r=35;
Circle 186: x=136, y=302, r=42;
Circle 187: x=98, y=671, r=5;
Circle 188: x=295, y=638, r=20;
Circle 189: x=970, y=768, r=35;
Circle 190: x=304, y=521, r=37;
Circle 191: x=827, y=474, r=28;
Circle 192: x=460, y=788, r=48;
Circle 193: x=972, y=601, r=22;
Circle 194: x=442, y=861, r=30;
Circle 195: x=28, y=150, r=17;
Circle 196: x=756, y=667, r=36;
Circle 197: x=907, y=882, r=38;
Circle 198: x=626, y=157, r=48;
Circle 199: x=941, y=623, r=34;
Circle 200: x=784, y=350, r=43;
Circle 201: x=892, y=376, r=45;
Circle 202: x=1000, y=386, r=46;
Circle 203: x=167, y=119, r=18;
Circle 204: x=510, y=657, r=27;
Circle 205: x=762, y=20, r=46;
Circle 206: x=789, y=853, r=20;
Circle 207: x=264, y=229, r=46;
Circle 208: x=169, y=24, r=20;
Circle 209: x=831, y=886, r=29;
Circle 210: x=571, y=947, r=16;
Circle 211: x=311, y=609, r=45;
Circle 212: x=958, y=493, r=38;
Circle 213: x=182, y=196, r=10;
Circle 214: x=597, y=246, r=30;
Circle 215: x=710, y=852, r=27;
Circle 216: x=446, y=145, r=12;
Circle 217: x=594, y=932, r=41;
Circle 218: x=247, y=631, r=13;
Circle 219: x=724, y=528, r=20;
Circle 220: x=564, y=814, r=38;
Circle 221: x=829, y=901, r=11;
Circle 222: x=276, y=588, r=46;
Circle 223: x=503, y=746, r=18;
Circle 224: x=6, y=720, r=33;
Circle 225: x=815, y=874, r=24;
Circle 226: x=604, y=128, r=24;
Circle 227: x=552, y=416, r=40;
Circle 228: x=932, y=684, r=8;
Circle 229: x=591, y=804, r=7;
Circle 230: x=781, y=444, r=7;
Circle 231: x=406, y=865, r=50;
Circle 232: x=681, y=126, r=18;
Circle 233: x=74, y=481, r=6;
Circle 234: x=604, y=146, r=45;
Circle 235: x=122, y=432, r=28;
Circle 236: x=528, y=199, r=26;
Circle 237: x=96, y=838, r=31;
Circle 238: x=208, y=348, r=36;
Circle 239: x=586, y=938, r=40;
Circle 240: x=530, y=113, r=13;
Circle 241: x=683, y=57, r=44;
Circle 242: x=546, y=117, r=5;
Circle 243: x=100, y=757, r=46;
Circle 244: x=486, y=365, r=50;
Circle 245: x=419, y=813, r=43;
Circle 246: x=738, y=397, r=16;
Circle 247: x=345, y=251, r=45;
Circle 248: x=391, y=559, r=32;
Circle 249: x=911, y=677, r=28;
Circle 250: x=656, y=76, r=31;
Circle 251: x=105, y=509, r=30;
Circle 252: x=558, y=378, r=10;
Circle 253: x=643, y=419, r=8;
Circle 254: x=974, y=311, r=6;
Circle 255: x=394, y=702, r=30;
Circle 256: x=642, y=307, r=37;
Circle 257: x=738, y=27, r=25;
Circle 258: x=883, y=121, r=15;
Circle 259: x=641, y=93, r=21;
Circle 260: x=577, y=320, r=22;
Circle 261: x=517, y=6, r=37;
Circle 262: x=434, y=499, r=41;
Circle 263: x=722, y=546, r=10;
Circle 264: x=640, y=204, r=10;
Circle 265: x=871, y=522, r=31;
Circle 266: x=541, y=265, r=26;
Circle 267: x=682, y=981, r=47;
Circle 268: x=138, y=668, r=19;
Circle 269: x=875, y=594, r=22;
Circle 270: x=639, y=905, r=42;
Circle 271: x=535, y=930, r=23;
Circle 272: x=147, y=60, r=46;
Circle 273: x=991, y=135, r=12;
Circle 274: x=980, y=262, r=37;
Circle 275: x=720, y=230, r=9;
Circle 276: x=680, y=849, r=36;
Circle 277: x=980, y=228, r=36;
Circle 278: x=307, y=358, r=30;
Circle 279: x=531, y=840, r=28;
Circle 280: x=215, y=897, r=8;
Circle 281: x=986, y=210, r=46;
Circle 282: x=656, y=125, r=30;
Circle 283: x=49, y=892, r=38;
Circle 284: x=556, y=953, r=5;
